ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
abrogés	abRoZe	abroger	VER	m	p	0.71	0.34	0.01	0.14	par:pas;	1	6	0	7	6	VCCVCVC	VCCVCV	2	1	0	5	a-bRo-Ze	3	V-CCV-CV	ségorba	eZoRba	a-bro-gés	VER	77	22	2.1	1.9	abroger	1
abrupt	abRypt	abrupt	ADJ	m	s	1.36	7.43	0.54	2.23		2	6	1	6	6	VCCVCC	VCCVCC	0	0	6	6	a-bRypt	2	V-CCVCC	tpurba	tpyRba	a-brupt	ADJ,NOM	94	18	2.5	2.85	abrupt	1
abrupt	abRypt	abrupt	NOM	m	s	0.00	0.47	0.00	0.34		2	6	1	6	6	VCCVCC	VCCVCC	0	0	6	6	a-bRypt	2	V-CCVCC	tpurba	tpyRba	a-brupt	ADJ,NOM	85	28	2.5	2.85	abrupt	1
abrupte	abRypt	abrupt	ADJ	f	s	1.36	7.43	0.43	2.84		1	6	0	7	6	VCCVCCV	VCCVCC	1	0	0	6	a-bRypt	2	V-CCVCC	etpurba	tpyRba	a-brup-te	ADJ	94	18	2.45	2.85	abrupt	1
abruptement	abRypt°m@	abruptement	ADV			0.07	2.03	0.07	2.03		1	1	1	11	9	VCCVCCVCVCC	VCCVCCVCV	0	0	7	7	a-bRyp-t°-m@	4	V-CCVC-CV-CV	tnemetpurba	@m°tpyRba	a-brup-te-ment	ADV			3.7	3.7	abruptement	1
abruptes	abRypt	abrupt	ADJ	f	p	1.36	7.43	0.24	1.55		1	6	0	8	6	VCCVCCVC	VCCVCC	0	0	0	6	a-bRypt	2	V-CCVCC	setpurba	tpyRba	a-brup-tes	ADJ	94	18	2.55	2.85	abrupt	1
abrupts	abRypt	abrupt	ADJ	m	p	1.36	7.43	0.14	0.81		2	6	0	7	6	VCCVCCC	VCCVCC	1	0	0	6	a-bRypt	2	V-CCVCC	stpurba	tpyRba	a-brupts	ADJ,NOM	94	18	2.5	2.85	abrupt	1
abrupts	abRypt	abrupt	NOM	m	p	0.00	0.47	0.00	0.14		2	6	0	7	6	VCCVCCC	VCCVCC	1	0	0	6	a-bRypt	2	V-CCVCC	stpurba	tpyRba	a-brupts	ADJ,NOM	85	28	2.5	2.85	abrupt	1
abruti	abRyti	abruti	ADJ	m	s	6.13	4.66	5.24	3.04		3	13	1	6	6	VCCVCV	VCCVCV	1	0	6	6	a-bRy-ti	3	V-CCV-CV	iturba	ityRba	a-bru-ti	ADJ,NOM,VER	96	26	1.75	1.9	abruti	1
abruti	abRyti	abruti	NOM	m	s	25.64	6.69	19.13	4.39		3	13	1	6	6	VCCVCV	VCCVCV	1	0	6	6	a-bRy-ti	3	V-CCV-CV	iturba	ityRba	a-bru-ti	ADJ,NOM,VER	100	26	1.75	1.9	abruti	1
abruti	abRyti	abrutir	VER	m	s	2.56	6.01	1.75	1.76	par:pas;	3	13	0	6	6	VCCVCV	VCCVCV	1	0	6	6	a-bRy-ti	3	V-CCV-CV	iturba	ityRba	a-bru-ti	ADJ,NOM,VER	90	22	1.75	1.9	abrutir	1
abrutie	abRyti	abruti	ADJ	f	s	6.13	4.66	0.27	0.68		3	13	0	7	6	VCCVCVV	VCCVCV	4	0	0	6	a-bRy-ti	3	V-CCV-CV	eiturba	ityRba	a-bru-tie	ADJ,NOM,VER	96	26	1.75	1.9	abruti	1
abrutie	abRyti	abruti	NOM	f	s	25.64	6.69	0.38	0.47		3	13	0	7	6	VCCVCVV	VCCVCV	4	0	0	6	a-bRy-ti	3	V-CCV-CV	eiturba	ityRba	a-bru-tie	ADJ,NOM,VER	100	26	1.75	1.9	abruti	1
abrutie	abRyti	abrutir	VER	f	s	2.56	6.01	0.06	0.34	par:pas;	3	13	0	7	6	VCCVCVV	VCCVCV	4	0	0	6	a-bRy-ti	3	V-CCV-CV	eiturba	ityRba	a-bru-tie	ADJ,NOM,VER	90	22	1.75	1.9	abrutir	1
abruties	abRyti	abruti	ADJ	f	p	6.13	4.66	0.03	0.07		3	13	0	8	6	VCCVCVVC	VCCVCV	0	0	0	6	a-bRy-ti	3	V-CCV-CV	seiturba	ityRba	a-bru-ties	ADJ,NOM,VER	96	26	2.1	1.9	abruti	1
abruties	abRyti	abruti	NOM	f	p	25.64	6.69	0.03	0.00		3	13	0	8	6	VCCVCVVC	VCCVCV	0	0	0	6	a-bRy-ti	3	V-CCV-CV	seiturba	ityRba	a-bru-ties	ADJ,NOM,VER	100	26	2.1	1.9	abruti	1
abruties	abRyti	abrutir	VER	f	p	2.56	6.01	0.02	0.07	par:pas;	3	13	0	8	6	VCCVCVVC	VCCVCV	0	0	0	6	a-bRy-ti	3	V-CCV-CV	seiturba	ityRba	a-bru-ties	ADJ,NOM,VER	90	22	2.1	1.9	abrutir	1
abrutir	abRytiR	abrutir	VER			2.56	6.01	0.11	0.95	inf;	1	1	1	7	7	VCCVCVC	VCCVCVC	4	1	7	7	a-bRy-tiR	3	V-CCV-CVC	riturba	RityRba	a-bru-tir	VER	90	22	1.95	2.3	abrutir	1
abrutira	abRytiRa	abrutir	VER			2.56	6.01	0.00	0.07	ind:fut:3s;	1	1	0	8	8	VCCVCVCV	VCCVCVCV	1	0	0	0	a-bRy-ti-Ra	4	V-CCV-CV-CV	ariturba	aRityRba	a-bru-ti-ra	VER	90	22	2.35	2.6	abrutir	1
abrutis	abRyti	abruti	ADJ	m	p	6.13	4.66	0.60	0.88		3	13	0	7	6	VCCVCVC	VCCVCV	4	0	0	6	a-bRy-ti	3	V-CCV-CV	siturba	ityRba	a-bru-tis	ADJ,NOM,VER	96	26	1.7	1.9	abruti	1
abrutis	abRyti	abruti	NOM	m	p	25.64	6.69	6.10	1.82		3	13	0	7	6	VCCVCVC	VCCVCV	4	0	0	6	a-bRy-ti	3	V-CCV-CV	siturba	ityRba	a-bru-tis	ADJ,NOM,VER	100	26	1.7	1.9	abruti	1
abrutis	abRyti	abrutir	VER	m	p	2.56	6.01	0.13	1.55	imp:pre:2s;ind:pre:1s;ind:pre:2s;par:pas;	3	13	0	7	6	VCCVCVC	VCCVCV	4	0	0	6	a-bRy-ti	3	V-CCV-CV	siturba	ityRba	a-bru-tis	ADJ,NOM,VER	90	22	1.7	1.9	abrutir	1
abrutissaient	abRytisE	abrutir	VER			2.56	6.01	0.00	0.20	ind:imp:3p;	1	3	0	13	8	VCCVCVCCVVVCC	VCCVCVCV	1	1	0	0	a-bRy-ti-sE	4	V-CCV-CV-CV	tneiassiturba	EsityRba	a-bru-tis-saient	VER	90	22	2.6	2.3	abrutir	1
abrutissais	abRytisE	abrutir	VER			2.56	6.01	0.00	0.07	ind:imp:1s;	1	3	0	11	8	VCCVCVCCVVC	VCCVCVCV	1	1	0	0	a-bRy-ti-sE	4	V-CCV-CV-CV	siassiturba	EsityRba	a-bru-tis-sais	VER	90	22	2.75	2.3	abrutir	1
abrutissait	abRytisE	abrutir	VER			2.56	6.01	0.14	0.27	ind:imp:3s;	1	3	0	11	8	VCCVCVCCVVC	VCCVCVCV	3	1	0	0	a-bRy-ti-sE	4	V-CCV-CV-CV	tiassiturba	EsityRba	a-bru-tis-sait	VER	90	22	2.35	2.3	abrutir	1
abrutissant	abRytis@	abrutir	VER			2.56	6.01	0.00	0.27	par:pre;	2	3	0	11	8	VCCVCVCCVCC	VCCVCVCV	3	1	9	8	a-bRy-ti-s@	4	V-CCV-CV-CV	tnassiturba	@sityRba	a-bru-tis-sant	VER,ADJ	90	22	2.15	2.3	abrutir	1
abrutissant	abRytis@	abrutissant	ADJ	m	s	0.19	0.41	0.14	0.14		2	3	1	11	8	VCCVCVCCVCC	VCCVCVCV	3	1	9	8	a-bRy-ti-s@	4	V-CCV-CV-CV	tnassiturba	@sityRba	a-bru-tis-sant	VER,ADJ	88	27	2.15	2.3	abrutissant	1
abrutissante	abRytis@t	abrutissant	ADJ	f	s	0.19	0.41	0.00	0.27		1	2	0	12	9	VCCVCVCCVCCV	VCCVCVCVC	1	0	0	0	a-bRy-ti-s@t	4	V-CCV-CV-CVC	etnassiturba	t@sityRba	a-bru-tis-san-te	ADJ	88	27	2.45	2.75	abrutissant	1
abrutissantes	abRytis@t	abrutissant	ADJ	f	p	0.19	0.41	0.02	0.00		1	2	0	13	9	VCCVCVCCVCCVC	VCCVCVCVC	0	0	0	0	a-bRy-ti-s@t	4	V-CCV-CV-CVC	setnassiturba	t@sityRba	a-bru-tis-san-tes	ADJ	88	27	2.9	2.75	abrutissant	1
abrutissants	abRytis@	abrutissant	ADJ	m	p	0.19	0.41	0.03	0.00		1	3	0	12	8	VCCVCVCCVCCC	VCCVCVCV	2	1	0	8	a-bRy-ti-s@	4	V-CCV-CV-CV	stnassiturba	@sityRba	a-bru-tis-sants	ADJ	88	27	2.4	2.3	abrutissant	1
abrutissement	abRytis°m@	abrutissement	NOM	m	s	0.13	1.42	0.13	1.42		1	1	1	13	10	VCCVCVCCVCVCC	VCCVCVCVCV	1	0	10	8	a-bRy-ti-s°-m@	5	V-CCV-CV-CV-CV	tnemessiturba	@m°sityRba	a-bru-tis-se-ment	NOM	83	24	2.85		a-brute-ment	3
abrutissent	abRytis	abrutir	VER			2.56	6.01	0.16	0.00	ind:pre:3p;	1	1	0	11	7	VCCVCVCCVCC	VCCVCVC	2	1	0	0	a-bRy-tis	3	V-CCV-CVC	tnessiturba	sityRba	a-bru-tis-sent	VER	90	22	2.35	2.25	abrutir	1
abrutisseur	abRytis9R	abrutisseur	NOM	m	s	0.00	0.07	0.00	0.07		1	1	1	11	9	VCCVCVCCVVC	VCCVCVCVC	0	0	10	8	a-bRy-ti-s9R	4	V-CCV-CV-CVC	ruessiturba	R9sityRba	a-bru-tis-seur	NOM	74	27	3.2	2.65	a-brute-eur	3
abrutissions	abRytisj§	abrutir	VER			2.56	6.01	0.00	0.07	ind:imp:1p;	1	1	0	12	9	VCCVCVCCVVCC	VCCVCVCYV	1	0	0	0	a-bRy-ti-sj§	4	V-CCV-CV-CYV	snoissiturba	§jsityRba	a-bru-tis-sions	VER	90	22	3.45	2.65	abrutir	1
abrutit	abRyti	abrutir	VER			2.56	6.01	0.19	0.41	ind:pre:3s;ind:pas:3s;	1	13	0	7	6	VCCVCVC	VCCVCV	4	0	0	6	a-bRy-ti	3	V-CCV-CV	titurba	ityRba	a-bru-tit	VER	90	22	1.85	1.9	abrutir	1
abrège	abREZ	abréger	VER			4.21	4.86	1.25	1.28	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	2	0	6	5	VCCVCV	VCCVC	1	2	0	0	a-bREZ	2	V-CCVC	egèrba	ZERba	a-brè-ge	VER	100	16	1.95	1.9	abréger	1
abrègent	abREZ	abréger	VER			4.21	4.86	0.22	0.34	ind:pre:3p;	1	2	0	8	5	VCCVCVCC	VCCVC	2	2	0	0	a-bREZ	2	V-CCVC	tnegèrba	ZERba	a-brè-gent	VER	100	16	2.35	1.9	abréger	1
abrégea	abReZa	abréger	VER			4.21	4.86	0.02	0.14	ind:pas:3s;	1	2	0	7	6	VCCVCVV	VCCVCV	2	4	0	0	a-bRe-Za	3	V-CCV-CV	aegérba	aZeRba	a-bré-gea	VER	100	16	2.05	1.75	abréger	1
abrégeai	abReZE	abréger	VER			4.21	4.86	0.00	0.07	ind:pas:1s;	1	3	0	8	6	VCCVCVVV	VCCVCV	0	5	0	0	a-bRe-ZE	3	V-CCV-CV	iaegérba	EZeRba	a-bré-geai	VER	100	16	2.35	1.7	abréger	1
abrégeaient	abReZE	abréger	VER			4.21	4.86	0.00	0.07	ind:imp:3p;	1	3	0	11	6	VCCVCVVVVCC	VCCVCV	1	5	0	0	a-bRe-ZE	3	V-CCV-CV	tneiaegérba	EZeRba	a-bré-geaient	VER	100	16	2.7	1.7	abréger	1
abrégeait	abReZE	abréger	VER			4.21	4.86	0.00	0.20	ind:imp:3s;	1	3	0	9	6	VCCVCVVVC	VCCVCV	2	5	0	0	a-bRe-ZE	3	V-CCV-CV	tiaegérba	EZeRba	a-bré-geait	VER	100	16	2.3	1.7	abréger	1
abrégeant	abReZ@	abréger	VER			4.21	4.86	0.00	0.07	par:pre;	1	1	0	9	6	VCCVCVVCC	VCCVCV	1	4	0	0	a-bRe-Z@	3	V-CCV-CV	tnaegérba	@ZeRba	a-bré-geant	VER	100	16	2.35	1.8	abréger	1
abrégeons	abReZ§	abréger	VER			4.21	4.86	0.12	0.07	imp:pre:1p;	1	1	0	9	6	VCCVCVVCC	VCCVCV	0	4	0	0	a-bRe-Z§	3	V-CCV-CV	snoegérba	§ZeRba	a-bré-geons	VER	100	16	2.95	2.05	abréger	1
abréger	abReZe	abréger	VER			4.21	4.86	1.61	1.82	inf;	1	9	1	7	6	VCCVCVC	VCCVCV	4	6	6	5	a-bRe-Ze	3	V-CCV-CV	regérba	eZeRba	a-bré-ger	VER	100	16	1.95	1.7	abréger	1
abrégera	abReZ°Ra	abréger	VER			4.21	4.86	0.01	0.00	ind:fut:3s;	1	1	0	8	8	VCCVCVCV	VCCVCVCV	0	1	0	0	a-bRe-Z°-Ra	4	V-CCV-CV-CV	aregérba	aR°ZeRba	a-bré-ge-ra	VER	100	16	2.25		abréger	1
abrégerai	abReZ°RE	abréger	VER			4.21	4.86	0.01	0.00	ind:fut:1s;	1	2	0	9	8	VCCVCVCVV	VCCVCVCV	0	1	0	0	a-bRe-Z°-RE	4	V-CCV-CV-CV	iaregérba	ER°ZeRba	a-bré-ge-rai	VER	100	16	2.55		abréger	1
abrégerait	abReZ°RE	abréger	VER			4.21	4.86	0.00	0.07	cnd:pre:3s;	1	2	0	10	8	VCCVCVCVVC	VCCVCVCV	0	1	0	0	a-bRe-Z°-RE	4	V-CCV-CV-CV	tiaregérba	ER°ZeRba	a-bré-ge-rait	VER	100	16	2.45		abréger	1
abrégez	abReZe	abréger	VER			4.21	4.86	0.73	0.07	imp:pre:2p;	1	9	0	7	6	VCCVCVC	VCCVCV	2	6	0	5	a-bRe-Ze	3	V-CCV-CV	zegérba	eZeRba	a-bré-gez	VER	100	16	2.2	1.7	abréger	1
abrégeât	abReZa	abréger	VER			4.21	4.86	0.00	0.07	sub:imp:3s;	1	2	0	8	6	VCCVCVVC	VCCVCV	0	4	0	0	a-bRe-Za	3	V-CCV-CV	tâegérba	aZeRba	a-bré-geât	VER	100	16	2.55	1.75	abréger	1
abrégé	abReZe	abréger	VER	m	s	4.21	4.86	0.19	0.41	par:pas;	3	9	0	6	6	VCCVCV	VCCVCV	2	6	6	5	a-bRe-Ze	3	V-CCV-CV	égérba	eZeRba	a-bré-gé	VER,ADJ,NOM	100	16	1.85	1.7	abréger	1
abrégé	abReZe	abrégé	ADJ	m	s	0.20	0.41	0.06	0.14		3	9	1	6	6	VCCVCV	VCCVCV	2	6	6	5	a-bRe-Ze	3	V-CCV-CV	égérba	eZeRba	a-bré-gé	VER,ADJ,NOM	100	19	1.85	1.7	abrégé	1
abrégé	abReZe	abrégé	NOM	m	s	0.12	0.54	0.11	0.47		3	9	1	6	6	VCCVCV	VCCVCV	2	6	6	5	a-bRe-Ze	3	V-CCV-CV	égérba	eZeRba	a-bré-gé	VER,ADJ,NOM	92	28	1.85	1.7	abrégé	1
abrégée	abReZe	abréger	VER	f	s	4.21	4.86	0.05	0.20	par:pas;	2	9	0	7	6	VCCVCVV	VCCVCV	3	6	0	5	a-bRe-Ze	3	V-CCV-CV	eégérba	eZeRba	a-bré-gée	VER,ADJ	100	16	1.9	1.7	abréger	1
abrégée	abReZe	abrégé	ADJ	f	s	0.20	0.41	0.13	0.20		2	9	0	7	6	VCCVCVV	VCCVCV	3	6	0	5	a-bRe-Ze	3	V-CCV-CV	eégérba	eZeRba	a-bré-gée	VER,ADJ	100	19	1.9	1.7	abrégé	1
abrégés	abReZe	abrégé	ADJ	m	p	0.20	0.41	0.01	0.07		2	9	0	7	6	VCCVCVC	VCCVCV	3	6	0	5	a-bRe-Ze	3	V-CCV-CV	ségérba	eZeRba	a-bré-gés	ADJ,NOM	100	19	2	1.7	abrégé	1
abrégés	abReZe	abrégé	NOM	m	p	0.12	0.54	0.01	0.07		2	9	0	7	6	VCCVCVC	VCCVCV	3	6	0	5	a-bRe-Ze	3	V-CCV-CV	ségérba	eZeRba	a-bré-gés	ADJ,NOM	92	28	2	1.7	abrégé	1
abréviatif	abRevjatif	abréviatif	ADJ	m	s	0.00	0.07	0.00	0.07		1	1	1	10	10	VCCVCVVCVC	VCCVCYVCVC	0	0	10	8	a-bRe-vja-tif	4	V-CCV-CYV-CVC	fitaivérba	fitajveRba	a-bré-via-tif	ADJ	48	25	3.95	4.1	abréviat-ion-if	3
abréviation	abRevjasj§	abréviation	NOM	f	s	0.46	0.95	0.37	0.41		1	2	1	11	10	VCCVCVVCVVC	VCCVCYVCYV	0	0	10	8	a-bRe-vja-sj§	4	V-CCV-CYV-CYV	noitaivérba	§jsajveRba	a-bré-via-tion	NOM	100	23	3.45	3.55	abréviat-ion	2
abréviations	abRevjasj§	abréviation	NOM	f	p	0.46	0.95	0.09	0.54		1	2	0	12	10	VCCVCVVCVVCC	VCCVCYVCYV	0	0	0	8	a-bRe-vja-sj§	4	V-CCV-CYV-CYV	snoitaivérba	§jsajveRba	a-bré-via-tions	NOM	100	23	3.6	3.55	abréviat-ion	2
abscisse	apsis	abscisse	NOM	f	s	0.02	0.00	0.02	0.00		1	1	1	8	5	VCCCVCCV	VCCVC	0	4	8	5	ap-sis	2	VC-CVC	essicsba	sispa		NOM			2.9	1.75	abscisse	1
abscission	apsisj§	abscission	NOM	f	s	0.00	0.07	0.00	0.07		1	1	1	10	7	VCCCVCCVVC	VCCVCYV	0	0	8	6	ap-si-sj§	3	VC-CV-CYV	noissicsba	§jsispa	abs-cis-sion	NOM	4	22	3.5	2	abscission	1
abscons	apsk§	abscons	ADJ	m		0.12	0.68	0.12	0.54		1	1	1	7	5	VCCCVCC	VCCCV	0	0	5	4	ap-sk§	2	VC-CCV	snocsba	§kspa	abs-cons	ADJ	60	28	2.55	1.95	abscons	1
absconse	apsk§s	abscons	ADJ	f	s	0.12	0.68	0.00	0.07		1	2	0	8	6	VCCCVCCV	VCCCVC	0	0	0	0	ap-sk§s	2	VC-CCVC	esnocsba	s§kspa	abs-con-se	ADJ	60	28	2.7	2.65	abscons	1
absconses	apsk§s	abscons	ADJ	f	p	0.12	0.68	0.00	0.07		1	2	0	9	6	VCCCVCCVC	VCCCVC	0	0	0	0	ap-sk§s	2	VC-CCVC	sesnocsba	s§kspa	abs-con-ses	ADJ	60	28	3.05	2.65	abscons	1
absence	aps@s	absence	NOM	f	s	22.86	76.28	22.02	72.50		1	2	1	7	5	VCCVCCV	VCCVC	1	2	6	5	ap-s@s	2	VC-CVC	ecnesba	s@spa	ab-sen-ce	NOM	97	46	2.2	1.85	absence	1
absences	aps@s	absence	NOM	f	p	22.86	76.28	0.84	3.78		1	2	0	8	5	VCCVCCVC	VCCVC	1	2	0	5	ap-s@s	2	VC-CVC	secnesba	s@spa	ab-sen-ces	NOM	97	46	2.35	1.85	absence	1
absent	aps@	absent	ADJ	m	s	14.91	29.80	9.46	18.18		2	4	1	6	4	VCCVCC	VCCV	0	5	6	4	ap-s@	2	VC-CV	tnesba	@spa	ab-sent	ADJ,NOM	100	23	1.75	1.5	absent	1
absent	aps@	absent	NOM	m	s	1.96	5.81	0.82	2.16		2	4	1	6	4	VCCVCC	VCCV	0	5	6	4	ap-s@	2	VC-CV	tnesba	@spa	ab-sent	ADJ,NOM	100	14	1.75	1.5	absent	1
absenta	aps@ta	absenter	VER			6.14	6.01	0.00	0.34	ind:pas:3s;	1	1	0	7	6	VCCVCCV	VCCVCV	3	3	0	0	ap-s@-ta	3	VC-CV-CV	atnesba	at@spa	ab-sen-ta	VER	95	22	1.85	1.75	absenter	1
absentai	aps@tE	absenter	VER			6.14	6.01	0.00	0.07	ind:pas:1s;	1	4	0	8	6	VCCVCCVV	VCCVCV	0	3	0	0	ap-s@-tE	3	VC-CV-CV	iatnesba	Et@spa	ab-sen-tai	VER	95	22	2.1	1.7	absenter	1
absentaient	aps@tE	absenter	VER			6.14	6.01	0.00	0.14	ind:imp:3p;	1	4	0	11	6	VCCVCCVVVCC	VCCVCV	0	3	0	0	ap-s@-tE	3	VC-CV-CV	tneiatnesba	Et@spa	ab-sen-taient	VER	95	22	2.65	1.7	absenter	1
absentais	aps@tE	absenter	VER			6.14	6.01	0.04	0.14	ind:imp:1s;ind:imp:2s;	1	4	0	9	6	VCCVCCVVC	VCCVCV	1	3	0	0	ap-s@-tE	3	VC-CV-CV	siatnesba	Et@spa	ab-sen-tais	VER	95	22	2.3	1.7	absenter	1
absentait	aps@tE	absenter	VER			6.14	6.01	0.16	1.15	ind:imp:3s;	1	4	0	9	6	VCCVCCVVC	VCCVCV	2	3	0	0	ap-s@-tE	3	VC-CV-CV	tiatnesba	Et@spa	ab-sen-tait	VER	95	22	2.25	1.7	absenter	1
absentant	aps@t@	absenter	VER			6.14	6.01	0.00	0.07	par:pre;	1	1	0	9	6	VCCVCCVCC	VCCVCV	1	4	0	0	ap-s@-t@	3	VC-CV-CV	tnatnesba	@t@spa	ab-sen-tant	VER	95	22	2.4	1.75	absenter	1
absente	aps@t	absent	ADJ	f	s	14.91	29.80	3.49	6.22		3	6	0	7	5	VCCVCCV	VCCVC	4	3	0	0	ap-s@t	2	VC-CVC	etnesba	t@spa	ab-sen-te	ADJ,NOM,VER	100	23	1.6	1.6	absent	1
absente	aps@t	absent	NOM	f	s	1.96	5.81	0.47	1.49		3	6	0	7	5	VCCVCCV	VCCVC	4	3	0	0	ap-s@t	2	VC-CVC	etnesba	t@spa	ab-sen-te	ADJ,NOM,VER	100	14	1.6	1.6	absent	1
absente	aps@t	absenter	VER			6.14	6.01	1.46	1.69	ind:pre:1s;ind:pre:3s;sub:pre:3s;	3	6	0	7	5	VCCVCCV	VCCVC	4	3	0	0	ap-s@t	2	VC-CVC	etnesba	t@spa	ab-sen-te	ADJ,NOM,VER	95	22	1.6	1.6	absenter	1
absenter	aps@te	absenter	VER			6.14	6.01	2.90	1.49	inf;	1	4	1	8	6	VCCVCCVC	VCCVCV	1	3	7	6	ap-s@-te	3	VC-CV-CV	retnesba	et@spa	ab-sen-ter	VER	95	22	2.05	1.8	absenter	1
absentera	aps@t°Ra	absenter	VER			6.14	6.01	0.03	0.14	ind:fut:3s;	1	1	0	9	8	VCCVCCVCV	VCCVCVCV	0	1	0	0	ap-s@-t°-Ra	4	VC-CV-CV-CV	aretnesba	aR°t@spa	ab-sen-te-ra	VER	95	22	2.6		absenter	1
absenterai	aps@t°RE	absenter	VER			6.14	6.01	0.03	0.07	ind:fut:1s;	1	2	0	10	8	VCCVCCVCVV	VCCVCVCV	0	1	0	0	ap-s@-t°-RE	4	VC-CV-CV-CV	iaretnesba	ER°t@spa	ab-sen-te-rai	VER	95	22	2.6		absenter	1
absenterait	aps@t°RE	absenter	VER			6.14	6.01	0.00	0.07	cnd:pre:3s;	1	2	0	11	8	VCCVCCVCVVC	VCCVCVCV	0	1	0	0	ap-s@-t°-RE	4	VC-CV-CV-CV	tiaretnesba	ER°t@spa	ab-sen-te-rait	VER	95	22	2.75		absenter	1
absentes	aps@t	absent	ADJ	f	p	14.91	29.80	0.06	0.61		3	6	0	8	5	VCCVCCVC	VCCVC	3	3	0	0	ap-s@t	2	VC-CVC	setnesba	t@spa	ab-sen-tes	ADJ,NOM,VER	100	23	1.75	1.6	absent	1
absentes	aps@t	absent	NOM	f	p	1.96	5.81	0.01	0.20		3	6	0	8	5	VCCVCCVC	VCCVC	3	3	0	0	ap-s@t	2	VC-CVC	setnesba	t@spa	ab-sen-tes	ADJ,NOM,VER	100	14	1.75	1.6	absent	1
absentes	aps@t	absenter	VER			6.14	6.01	0.07	0.00	ind:pre:2s;	3	6	0	8	5	VCCVCCVC	VCCVC	3	3	0	0	ap-s@t	2	VC-CVC	setnesba	t@spa	ab-sen-tes	ADJ,NOM,VER	95	22	1.75	1.6	absenter	1
absents	aps@	absent	ADJ	m	p	14.91	29.80	1.91	4.80		2	4	0	7	4	VCCVCCC	VCCV	3	5	0	4	ap-s@	2	VC-CV	stnesba	@spa	ab-sents	ADJ,NOM	100	23	1.7	1.5	absent	1
absents	aps@	absent	NOM	m	p	1.96	5.81	0.66	1.96		2	4	0	7	4	VCCVCCC	VCCV	3	5	0	4	ap-s@	2	VC-CV	stnesba	@spa	ab-sents	ADJ,NOM	100	14	1.7	1.5	absent	1
absentèrent	aps@tER	absenter	VER			6.14	6.01	0.00	0.07	ind:pas:3p;	1	1	0	11	7	VCCVCCVCVCC	VCCVCVC	0	0	0	0	ap-s@-tER	3	VC-CV-CVC	tnerètnesba	REt@spa	ab-sen-tè-rent	VER	95	22	2.9	2	absenter	1
absenté	aps@te	absenter	VER	m	s	6.14	6.01	0.89	0.34	par:pas;	1	4	0	7	6	VCCVCCV	VCCVCV	3	3	0	6	ap-s@-te	3	VC-CV-CV	étnesba	et@spa	ab-sen-té	VER	95	22	1.95	1.8	absenter	1
absentée	aps@te	absenter	VER	f	s	6.14	6.01	0.42	0.20	par:pas;	1	4	0	8	6	VCCVCCVV	VCCVCV	1	3	0	6	ap-s@-te	3	VC-CV-CV	eétnesba	et@spa	ab-sen-tée	VER	95	22	2.15	1.8	absenter	1
absentéisme	aps@teizm	absentéisme	NOM	m	s	0.14	0.20	0.14	0.20		1	1	1	11	9	VCCVCCVVCCV	VCCVCVVCC	1	0	10	8	ap-s@-te-izm	4	VC-CV-CV-VCC	emsiétnesba	mziet@spa	ab-sen-téis-me	NOM	97	34	3.65	3.6	absentéisme	1
absentéiste	aps@teist	absentéiste	ADJ	m	s	0.01	0.00	0.01	0.00		2	2	1	11	9	VCCVCCVVCCV	VCCVCVVCC	1	0	10	8	ap-s@-te-ist	4	VC-CV-CV-VCC	etsiétnesba	tsiet@spa	ab-sen-téis-te	ADJ,NOM	90	21	3.55	3.5	absentéiste	1
absentéiste	aps@teist	absentéiste	NOM		s	0.01	0.00	0.01	0.00		2	2	1	11	9	VCCVCCVVCCV	VCCVCVVCC	1	0	10	8	ap-s@-te-ist	4	VC-CV-CV-VCC	etsiétnesba	tsiet@spa	ab-sen-téis-te	ADJ,NOM			3.55	3.5	absentéiste	1
absentés	aps@te	absenter	VER	m	p	6.14	6.01	0.15	0.07	par:pas;	1	4	0	8	6	VCCVCCVC	VCCVCV	2	3	0	6	ap-s@-te	3	VC-CV-CV	sétnesba	et@spa	ab-sen-tés	VER	95	22	2.1	1.8	absenter	1
abside	apsid	abside	NOM	f	s	0.00	1.62	0.00	1.55		1	2	1	6	5	VCCVCV	VCCVC	0	1	6	5	ap-sid	2	VC-CVC	edisba	dispa	ab-si-de	NOM	50	24	1.95	1.9	abside	1
absides	apsid	abside	NOM	f	p	0.00	1.62	0.00	0.07		1	2	0	7	5	VCCVCVC	VCCVC	0	1	0	5	ap-sid	2	VC-CVC	sedisba	dispa	ab-si-des	NOM	50	24	2	1.9	abside	1
absidiales	apsidjal	absidial	ADJ	f	p	0.00	0.14	0.00	0.14		1	1	0	10	8	VCCVCVVCVC	VCCVCYVC	0	1	0	0	ap-si-djal	3	VC-CV-CYVC	selaidisba	lajdispa	ab-si-dia-les	ADJ			3.75	3.3	absidial	1
